Run;bestKey;bestValue;obj1;obj2;algName;problemName;fitness
1;0.9999315690088888_7.423972292502075E-7_0.22107002771599288_0.6731376007608517_0.49088234970465294_0.5687633409639937_0.7292278634133431_0.6645322051943252_0.692181573312977_0.7491336619729032_0.7145881902238949_0.8347540458020046;139;0.9999962407261036;-0.4266;NSGAII;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.5768156257132676
1;0.7543266840912057_0.7987630710984565_0.05662782280090228_0.5770887906889474_0.18782965790700998_0.3420834185673156_0.7157062882022897_0.5098679971230371_0.525235940690087_0.7464861105705267_0.8536501466173338_0.44725738333398257;200;0.9132380533188105;0.6088;MOMBI2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.4364101066495504
1;0.9223441860566972_0.03315942713999459_0.5600020599906482_0.6464720165941171_0.052620853885651464_0.6208530501490045_0.6463861582399998_0.423843489280894_0.6377535734530849_0.6474065550490674_0.39258223836731343_0.5083185297407582;200;0.9945057014350062;0.57024;MOEAD;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.4889135010621791
1;0.999914775896122_2.4086834992833139E-4_0.7043881050052665_0.4818127892919728_0.3863202776510254_0.8239780100861605_0.7567450436179503_0.7279280990160875_0.8600907569774597_0.839738653728466_0.7780724607955575_0.8031711995858343;81;0.9999631558569578;0.9884800000000001;SPEA2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.6353945735161832
2;0.9915449437414523_2.371206773440069E-5_0.3062232995299827_0.26435455522015816_0.25574617184592_0.7395062140665658_0.7220924975646424_0.718490933628811_0.919886106311322_0.9126090935701099_0.33274145487540885_0.9985795175162674;200;0.9997006859330927;0.4252100840336135;NSGAII;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.5058624988976893
2;0.7954821362108774_0.5786499286848796_0.3848072584304255_0.6978488204969772_0.46000298244668614_0.4482106746448994_0.594342043038653_0.5970189330475449_0.572676871233224_0.6395245029043299_0.20053380725593248_0.2900126132955816;75;0.8991608453349539;0.4836;MOMBI2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.5555061007421355
2;0.881011109007988_0.6513824018656452_0.3039200081958018_0.4372463508338779_0.8898091519159995_0.713579257852683_0.7544359984728819_0.889311422376715_0.8370443579858503_0.8501975398278986_0.6513236713605447_0.669408130707549;200;0.9912375481801143;0.76552;MOEAD;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.6840292652615665
2;0.9998579650278537_0.03227305337645098_0.018340913291723843_0.5299760872264696_0.59467312082591_0.3354165482470852_0.5718820040749577_0.6018185145999887_0.48143708613719355_0.5913010153082574_0.597818248791088_0.4222702174536763;200;0.9998407109476384;0.94752;SPEA2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.4897248805840934
3;0.9993712879037746_2.4849189648886783E-4_0.12495513425162802_0.3809254565427991_0.5408574642017802_0.6574045478032404_0.7564568460165788_0.8183547684998967_0.8634653392550515_0.9018167577959958_0.9897122168288609_0.12845442695108955;200;0.9999830936999686;0.5090036014405762;NSGAII;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.5620585517567288
3;0.9221098805439717_0.917992362246056_0.5988652864987054_0.18496498272041026_0.495440420523865_0.6570014012323244_0.541848595462284_0.535050745405991_0.559334481146698_0.6737763266827683_0.03308418550433884_0.8989227561021511;200;0.9007297254155826;0.8505600000000001;MOMBI2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.4955512142832737
3;0.7797850206394396_0.6032324530328051_0.15348196446305645_0.4774951649072982_0.8682592094979915_0.3796739332006442_0.5075077790485362_0.663660167017231_0.46825659402114783_0.519841274193884_0.8532450485581504_0.6782397149142463;200;0.9888990721604263;0.6018007202881153;MOEAD;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.5272830748799315
3;0.9994109950298711_1.3534645509603784E-4_0.43190799970857424_0.2517968283087883_0.5616360644248468_0.7670200011150783_0.7038618321133064_0.8124934073147214_0.8845108125034374_0.862349748498437_0.7674399901641176_0.8086299003988279;105;0.9999851725600547;-0.25354141656662665;SPEA2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.5838550697214507
4;0.9866458248418581_2.5089241907596473E-5_0.49052559277712954_0.025158970823868164_0.6916288426573803_0.8237526897983861_0.6590040823105938_0.8949500038089725_0.941721105221813_0.8833964539457566_0.17173488321297173_0.5129931403182058;169;0.9997306356981164;-0.4622;NSGAII;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.5848822703904125
4;0.7625240623166757_0.7877917075503086_0.7502471425450801_0.10353712307021577_0.24846281362229064_0.7579876234257059_0.7210052573215874_0.5199391884863739_0.7716741776800303_0.6453121550123664_0.48762428207638514_0.5292347945681315;107;0.8824488130608733;0.512124849939976;MOMBI2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.48923028304426913
4;0.8687639108710803_0.29954780398473557_0.18809548564307113_0.5088502333715399_0.3090958674720567_0.29907143764621635_0.4580759044214036_0.3436652031143921_0.34333727706909123_0.42391109904390684_0.5340328959128444_1.4366342558561001E-5;200;0.9860380865645613;0.69808;MOEAD;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.3760337026239747
